id,Nobody Cancels (%),Flip a Coin (%),Stepwise Regression (%),Random Forest (%)
A00001,0,50,0.03,37.830000000000005
A00002,0,50,0.04,37.830000000000005
A00003,0,50,0.01,42.67
A00004,0,50,0.01,42.67
A00005,0,50,0.06,37.830000000000005
A00007,0,50,0.0699999999999999,37.830000000000005
A00010,0,50,0.08,37.56
A00011,0,50,0.02,42.67
A00012,0,50,0.08,37.830000000000005
A00014,0,50,0.08,37.830000000000005
A00015,0,50,0.02,42.67
A00016,0,50,0.02,42.67
A00017,0,50,0.02,42.67
A00021,0,50,0.02,42.67
A00022,0,50,0.02,42.67
A00023,0,50,0.11,37.830000000000005
A00024,0,50,0.02,42.67
A00025,0,50,0.02,42.67
A00026,0,50,0.02,42.4
A00027,0,50,0.03,42.4
A00028,0,50,0.03,41.69
A00031,0,50,0.02,42.67
A00033,0,50,0.03,42.67
A00034,0,50,0.03,42.67
A00039,0,50,0.03,42.67
A00041,0,50,0.03,42.67
A00042,0,50,0.2799999999999999,37.56
A00048,0,50,0.12,37.830000000000005
A00049,0,50,0.12,37.56
A00050,0,50,0.04,42.67
A00051,0,50,0.04,42.67
A00052,0,50,0.12,37.56
A00055,0,50,0.04,42.67
A00056,0,50,0.15,37.12
A00059,0,50,0.1399999999999999,37.12
A00060,0,50,0.21,37.830000000000005
A00062,0,50,0.1399999999999999,37.830000000000005
A00064,0,50,0.26,37.830000000000005
A00066,0,50,0.1399999999999999,37.830000000000005
A00067,0,50,0.04,42.67
A00068,0,50,0.04,42.67
A00071,0,50,0.15,37.830000000000005
A00073,0,50,0.2299999999999999,37.830000000000005
A00074,0,50,0.05,42.67
A00075,0,50,0.05,42.67
A00083,0,50,0.3,37.56
A00084,0,50,0.05,42.67
A00091,0,50,0.18,37.830000000000005
A00099,0,50,0.05,42.4
A00100,0,50,0.18,36.85
A00105,0,50,0.06,42.67
A00107,0,50,0.3399999999999999,37.56
A00108,0,50,0.18,37.830000000000005
A00109,0,50,0.05,42.67
A00110,0,50,0.18,37.830000000000005
A00114,0,50,0.48,37.56
A00115,0,50,0.27,37.830000000000005
A00117,0,50,0.18,37.830000000000005
A00118,0,50,0.06,42.4
A00120,0,50,0.42,37.12
A00125,0,50,0.06,42.67
A00126,0,50,0.27,37.830000000000005
A00129,0,50,0.06,42.67
A00130,0,50,0.35,37.830000000000005
A00133,0,50,0.27,37.830000000000005
A00137,0,50,0.06,42.67
A00139,0,50,0.12,37.830000000000005
A00140,0,50,0.31,37.830000000000005
A00142,0,50,0.22,37.12
A00143,0,50,0.19,37.830000000000005
A00144,0,50,0.12,37.830000000000005
A00146,0,50,0.51,37.830000000000005
A00147,0,50,0.25,37.830000000000005
A00148,0,50,0.29,37.830000000000005
A00149,0,50,0.12,37.830000000000005
A00151,0,50,0.06,42.67
A00159,0,50,0.3,37.830000000000005
A00163,0,50,0.31,37.12
A00164,0,50,0.2299999999999999,36.85
A00166,0,50,0.3,37.830000000000005
A00167,0,50,0.21,37.830000000000005
A00171,0,50,0.3,37.830000000000005
A00172,0,50,0.3,37.830000000000005
A00174,0,50,0.3,37.830000000000005
A00178,0,50,0.2,37.830000000000005
A00180,0,50,0.31,37.830000000000005
A00186,0,50,0.31,37.12
A00187,0,50,0.06,42.67
A00191,0,50,0.31,37.830000000000005
A00192,0,50,0.31,37.830000000000005
A00193,0,50,0.06,42.67
A00194,0,50,0.31,37.830000000000005
A00197,0,50,0.21,37.830000000000005
A00199,0,50,0.06,42.4
A00201,0,50,0.06,42.67
A00202,0,50,0.5499999999999999,37.830000000000005
A00203,0,50,0.5499999999999999,37.56
A00204,0,50,0.31,37.56
A00205,0,50,0.5599999999999999,37.830000000000005
A00208,0,50,0.32,37.56
A00210,0,50,0.2299999999999999,37.830000000000005
A00211,0,50,0.0699999999999999,42.67
A00212,0,50,0.0699999999999999,42.67
A00213,0,50,0.2299999999999999,37.830000000000005
A00214,0,50,0.32,37.12
A00216,0,50,0.2299999999999999,37.830000000000005
A00218,0,50,0.33,37.830000000000005
A00219,0,50,0.3399999999999999,37.830000000000005
A00221,0,50,0.51,37.12
A00222,0,50,0.0699999999999999,42.67
A00224,0,50,0.0699999999999999,42.4
A00227,0,50,0.33,37.830000000000005
A00229,0,50,0.33,37.12
A00232,0,50,0.35,37.830000000000005
A00233,0,50,0.3399999999999999,37.830000000000005
A00234,0,50,0.6,37.830000000000005
A00235,0,50,0.4499999999999999,37.830000000000005
A00237,0,50,0.0699999999999999,42.67
A00240,0,50,0.0699999999999999,42.67
A00242,0,50,0.3399999999999999,37.12
A00243,0,50,0.2299999999999999,36.85
A00245,0,50,0.0699999999999999,42.4
A00246,0,50,0.35,37.830000000000005
A00249,0,50,0.31,37.830000000000005
A00250,0,50,0.62,37.830000000000005
A00251,0,50,0.62,37.830000000000005
A00252,0,50,0.2299999999999999,37.830000000000005
A00253,0,50,0.2299999999999999,37.830000000000005
A00254,0,50,0.4499999999999999,37.56
A00255,0,50,0.4499999999999999,37.56
A00256,0,50,0.62,37.830000000000005
A00257,0,50,0.0699999999999999,42.4
A00259,0,50,0.35,37.830000000000005
A00260,0,50,0.0699999999999999,42.4
A00261,0,50,0.0699999999999999,41.69
A00264,0,50,0.35,37.830000000000005
A00265,0,50,0.24,37.830000000000005
A00268,0,50,0.24,37.830000000000005
A00269,0,50,0.35,37.830000000000005
A00272,0,50,0.62,37.56
A00273,0,50,0.35,37.830000000000005
A00274,0,50,0.35,37.830000000000005
A00275,0,50,0.24,37.830000000000005
A00279,0,50,0.38,37.830000000000005
A00280,0,50,0.36,37.830000000000005
A00282,0,50,0.0699999999999999,42.67
A00283,0,50,0.15,37.830000000000005
A00284,0,50,0.36,37.830000000000005
A00285,0,50,0.25,37.830000000000005
A00286,0,50,0.37,37.830000000000005
A00288,0,50,0.08,41.959999999999994
A00289,0,50,0.08,42.67
A00292,0,50,0.41,37.12
A00293,0,50,0.25,37.56
A00294,0,50,0.08,41.959999999999994
A00295,0,50,0.08,42.4
A00296,0,50,0.25,37.830000000000005
A00297,0,50,0.66,37.830000000000005
A00298,0,50,0.25,37.56
A00299,0,50,0.66,37.830000000000005
A00300,0,50,0.66,37.830000000000005
A00301,0,50,0.25,37.830000000000005
A00302,0,50,0.25,37.830000000000005
A00310,0,50,0.26,37.56
A00312,0,50,0.08,42.67
A00315,0,50,0.41,37.830000000000005
A00316,0,50,0.27,37.830000000000005
A00317,0,50,0.26,37.830000000000005
A00318,0,50,0.08,42.67
A00322,0,50,0.6799999999999999,37.56
A00323,0,50,0.08,41.959999999999994
A00324,0,50,0.08,42.67
A00330,0,50,0.08,42.67
A00331,0,50,0.08,42.67
A00332,0,50,0.08,42.67
A00333,0,50,0.69,37.830000000000005
A00334,0,50,0.09,42.67
A00337,0,50,0.69,37.830000000000005
A00339,0,50,0.26,37.830000000000005
A00340,0,50,0.3899999999999999,37.830000000000005
A00342,0,50,0.3899999999999999,37.830000000000005
A00343,0,50,0.69,37.56
A00344,0,50,0.08,42.67
A00346,0,50,0.7000000000000001,37.830000000000005
A00351,0,50,0.4,37.830000000000005
A00353,0,50,0.4,37.830000000000005
A00355,0,50,0.08,42.67
A00356,0,50,0.4,37.12
A00357,0,50,0.08,42.67
A00358,0,50,0.7000000000000001,37.830000000000005
A00360,0,50,0.4,37.12
A00361,0,50,0.4,37.830000000000005
A00365,0,50,0.4,37.12
A00366,0,50,0.41,37.830000000000005
A00371,0,50,0.7100000000000001,37.830000000000005
A00376,0,50,0.18,37.830000000000005
A00378,0,50,0.27,37.830000000000005
A00384,0,50,0.72,37.830000000000005
A00388,0,50,0.72,37.56
A00390,0,50,0.72,37.830000000000005
A00392,0,50,0.72,37.830000000000005
A00398,0,50,0.72,37.830000000000005
A00400,0,50,0.41,37.830000000000005
A00401,0,50,0.52,36.85
A00406,0,50,0.08,42.4
A00407,0,50,0.63,37.12
A00410,0,50,0.41,37.830000000000005
A00415,0,50,0.52,37.12
A00416,0,50,0.72,37.830000000000005
A00417,0,50,0.41,37.830000000000005
A00419,0,50,0.41,37.830000000000005
A00420,0,50,0.72,37.830000000000005
A00421,0,50,0.41,37.56
A00425,0,50,0.09,42.67
A00427,0,50,0.09,42.67
A00428,0,50,0.27,37.830000000000005
A00430,0,50,0.41,37.830000000000005
A00432,0,50,0.27,37.830000000000005
A00434,0,50,0.27,37.830000000000005
A00435,0,50,0.41,37.830000000000005
A00436,0,50,0.41,37.56
A00437,0,50,0.09,42.67
A00439,0,50,0.22,37.830000000000005
A00440,0,50,0.09,42.67
A00442,0,50,0.1,42.4
A00443,0,50,0.43,37.56
A00444,0,50,0.44,37.830000000000005
A00446,0,50,0.43,37.830000000000005
A00447,0,50,0.43,37.830000000000005
A00454,0,50,0.4499999999999999,37.12
A00455,0,50,0.4499999999999999,37.12
A00456,0,50,0.09,42.67
A00458,0,50,0.4599999999999999,37.830000000000005
A00459,0,50,0.09,42.67
A00460,0,50,0.4599999999999999,37.56
A00463,0,50,0.4599999999999999,37.830000000000005
A00468,0,50,0.35,37.12
A00469,0,50,0.48,37.830000000000005
A00470,0,50,0.47,37.830000000000005
A00471,0,50,0.8200000000000001,37.830000000000005
A00472,0,50,0.59,37.12
A00473,0,50,0.47,37.56
A00474,0,50,0.32,37.830000000000005
A00475,0,50,0.32,37.830000000000005
A00477,0,50,0.48,37.56
A00478,0,50,0.1,42.67
A00479,0,50,0.48,37.830000000000005
A00480,0,50,0.48,37.830000000000005
A00483,0,50,0.1,41.959999999999994
A00487,0,50,0.2,37.56
A00489,0,50,0.49,37.830000000000005
A00493,0,50,0.1,42.67
A00496,0,50,0.35,37.56
A00497,0,50,0.1,42.67
A00498,0,50,0.3399999999999999,37.830000000000005
A00499,0,50,0.75,37.56
A00500,0,50,0.3399999999999999,37.830000000000005
A00502,0,50,0.51,37.830000000000005
A00503,0,50,0.38,37.830000000000005
A00509,0,50,0.53,37.12
A00510,0,50,0.12,42.67
A00511,0,50,0.53,37.830000000000005
A00512,0,50,0.53,37.56
A00513,0,50,0.11,42.67
A00514,0,50,0.54,37.830000000000005
A00515,0,50,0.36,37.830000000000005
A00518,0,50,0.5499999999999999,37.830000000000005
A00520,0,50,0.11,42.67
A00522,0,50,0.5499999999999999,37.830000000000005
A00526,0,50,0.38,37.56
A00527,0,50,0.38,37.830000000000005
A00529,0,50,0.38,37.830000000000005
A00532,0,50,0.41,37.830000000000005
A00534,0,50,0.38,37.830000000000005
A00535,0,50,0.12,42.67
A00538,0,50,0.62,37.830000000000005
A00540,0,50,0.62,37.830000000000005
A00541,0,50,0.8999999999999999,37.830000000000005
A00544,0,50,0.4,37.830000000000005
A00547,0,50,0.94,37.12
A00548,0,50,0.4,37.830000000000005
A00551,0,50,0.42,37.830000000000005
A00554,0,50,0.6,37.12
A00555,0,50,0.6,37.830000000000005
A00558,0,50,0.61,37.830000000000005
A00559,0,50,0.13,42.4
A00561,0,50,1.08,37.830000000000005
A00563,0,50,0.62,37.830000000000005
A00565,0,50,0.1399999999999999,41.959999999999994
A00567,0,50,0.13,42.67
A00568,0,50,0.61,37.830000000000005
A00571,0,50,0.13,42.4
A00572,0,50,1.08,37.830000000000005
A00574,0,50,0.7000000000000001,37.830000000000005
A00576,0,50,0.13,42.67
A00577,0,50,0.41,37.830000000000005
A00578,0,50,0.62,37.56
A00579,0,50,0.4499999999999999,37.830000000000005
A00582,0,50,0.42,37.56
A00593,0,50,0.13,42.67
A00594,0,50,0.65,37.830000000000005
A00595,0,50,0.65,37.56
A00596,0,50,0.13,42.67
A00599,0,50,0.13,42.4
A00602,0,50,0.6799999999999999,37.830000000000005
A00604,0,50,0.4499999999999999,37.830000000000005
A00605,0,50,0.66,37.56
A00606,0,50,0.6799999999999999,36.85
A00607,0,50,0.44,37.830000000000005
A00608,0,50,0.1399999999999999,42.4
A00612,0,50,0.44,37.56
A00615,0,50,0.6799999999999999,37.830000000000005
A00616,0,50,0.88,36.85
A00618,0,50,0.51,37.56
A00620,0,50,0.69,37.830000000000005
A00621,0,50,0.4599999999999999,37.830000000000005
A00622,0,50,0.1399999999999999,42.67
A00627,0,50,0.1399999999999999,42.4
A00628,0,50,0.4599999999999999,37.830000000000005
A00629,0,50,0.1399999999999999,42.4
A00632,0,50,0.4599999999999999,37.830000000000005
A00633,0,50,0.49,37.12
A00635,0,50,0.29,37.830000000000005
A00636,0,50,0.1399999999999999,41.959999999999994
A00639,0,50,0.48,37.830000000000005
A00644,0,50,0.15,42.67
A00645,0,50,0.15,42.67
A00647,0,50,0.15,42.4
A00648,0,50,0.15,42.4
A00651,0,50,1.01,37.830000000000005
A00654,0,50,0.15,42.67
A00657,0,50,0.15,42.4
A00658,0,50,0.53,37.56
A00661,0,50,0.77,37.830000000000005
A00663,0,50,0.75,37.56
A00667,0,50,0.75,37.830000000000005
A00669,0,50,0.5499999999999999,37.830000000000005
A00671,0,50,0.77,37.830000000000005
A00672,0,50,1.35,37.830000000000005
A00674,0,50,0.53,37.12
A00680,0,50,0.32,37.830000000000005
A00681,0,50,0.33,37.830000000000005
A00686,0,50,0.16,42.67
A00687,0,50,0.5499999999999999,37.830000000000005
A00688,0,50,0.53,37.830000000000005
A00689,0,50,0.16,42.67
A00690,0,50,0.59,37.830000000000005
A00691,0,50,0.52,37.830000000000005
A00692,0,50,1.1,37.56
A00693,0,50,0.16,42.4
A00696,0,50,0.79,37.56
A00697,0,50,0.79,37.830000000000005
A00698,0,50,0.53,37.56
A00702,0,50,0.16,42.67
A00703,0,50,1.39,37.56
A00708,0,50,0.53,37.830000000000005
A00710,0,50,1.4,37.830000000000005
A00711,0,50,0.16,42.67
A00713,0,50,1.4,37.830000000000005
A00718,0,50,0.8,37.830000000000005
A00719,0,50,0.16,42.67
A00720,0,50,0.16,42.4
A00722,0,50,0.8,37.12
A00723,0,50,0.8,37.56
A00725,0,50,1.41,37.56
A00726,0,50,0.53,37.830000000000005
A00731,0,50,0.8,37.830000000000005
A00732,0,50,0.8500000000000001,37.12
A00735,0,50,1.41,37.830000000000005
A00736,0,50,0.8,37.830000000000005
A00737,0,50,1.01,37.12
A00738,0,50,0.8,37.830000000000005
A00741,0,50,0.16,42.67
A00745,0,50,0.54,37.830000000000005
A00751,0,50,0.5700000000000001,37.830000000000005
A00754,0,50,0.1699999999999999,42.67
A00755,0,50,0.19,41.959999999999994
A00758,0,50,0.59,37.56
A00759,0,50,1.48,37.56
A00760,0,50,0.84,37.56
A00768,0,50,0.1699999999999999,42.67
A00774,0,50,0.88,37.12
A00775,0,50,0.38,37.830000000000005
A00778,0,50,0.86,37.830000000000005
A00784,0,50,0.8699999999999999,37.12
A00785,0,50,0.61,37.830000000000005
A00788,0,50,0.6,37.12
A00790,0,50,0.67,37.56
A00791,0,50,0.88,37.830000000000005
A00793,0,50,0.61,37.830000000000005
A00801,0,50,0.59,37.56
A00802,0,50,0.18,42.67
A00803,0,50,0.8999999999999999,37.830000000000005
A00806,0,50,1.13,37.12
A00807,0,50,0.19,42.67
A00809,0,50,1.15,37.830000000000005
A00810,0,50,1.58,37.830000000000005
A00811,0,50,0.61,37.830000000000005
A00819,0,50,0.19,42.67
A00821,0,50,0.19,42.67
A00822,0,50,1.61,37.56
A00823,0,50,0.91,37.830000000000005
A00825,0,50,0.19,42.67
A00828,0,50,0.19,42.67
A00829,0,50,0.92,37.830000000000005
A00830,0,50,0.62,37.830000000000005
A00831,0,50,0.19,42.67
A00832,0,50,0.62,37.56
A00833,0,50,0.92,37.830000000000005
A00835,0,50,0.62,37.830000000000005
A00838,0,50,0.92,37.830000000000005
A00840,0,50,1.17,37.12
A00841,0,50,0.92,37.12
A00844,0,50,0.84,37.830000000000005
A00846,0,50,0.19,42.4
A00847,0,50,0.94,37.12
A00848,0,50,0.94,37.12
A00849,0,50,1.64,37.56
A00851,0,50,0.64,37.830000000000005
A00852,0,50,0.64,37.830000000000005
A00854,0,50,0.95,37.56
A00856,0,50,0.2,42.67
A00860,0,50,0.2,42.67
A00862,0,50,0.65,37.56
A00864,0,50,0.2,42.67
A00866,0,50,0.66,37.56
A00870,0,50,0.99,37.830000000000005
A00873,0,50,1.02,37.830000000000005
A00874,0,50,1.0,37.830000000000005
A00875,0,50,0.22,41.69
A00877,0,50,0.21,42.4
A00878,0,50,0.22,41.69
A00879,0,50,0.69,37.56
A00880,0,50,1.02,36.85
A00881,0,50,0.7100000000000001,37.56
A00883,0,50,1.02,37.830000000000005
A00884,0,50,0.6799999999999999,37.830000000000005
A00887,0,50,1.02,37.56
A00888,0,50,1.02,37.830000000000005
A00891,0,50,0.69,37.830000000000005
A00892,0,50,0.21,42.4
A00894,0,50,1.03,36.85
A00898,0,50,1.7999999999999998,37.56
A00901,0,50,0.7100000000000001,37.830000000000005
A00903,0,50,0.7000000000000001,37.830000000000005
A00904,0,50,1.84,37.830000000000005
A00907,0,50,0.7100000000000001,37.830000000000005
A00908,0,50,0.72,37.56
A00909,0,50,0.22,42.4
A00910,0,50,0.7100000000000001,37.56
A00911,0,50,0.7000000000000001,37.830000000000005
A00912,0,50,0.7100000000000001,37.830000000000005
A00913,0,50,0.7100000000000001,37.830000000000005
A00915,0,50,0.7100000000000001,37.830000000000005
A00917,0,50,1.06,37.830000000000005
A00918,0,50,0.7100000000000001,37.830000000000005
A00919,0,50,0.7100000000000001,37.830000000000005
A00922,0,50,0.7100000000000001,37.830000000000005
A00923,0,50,1.12,37.830000000000005
A00924,0,50,0.22,42.4
A00926,0,50,0.4499999999999999,37.56
A00927,0,50,0.73,37.830000000000005
A00928,0,50,1.86,37.56
A00930,0,50,0.2299999999999999,41.959999999999994
A00931,0,50,1.06,37.830000000000005
A00932,0,50,1.86,37.830000000000005
A00934,0,50,0.22,42.67
A00935,0,50,0.4499999999999999,37.56
A00940,0,50,0.73,37.830000000000005
A00941,0,50,0.74,37.830000000000005
A00942,0,50,0.74,37.56
A00943,0,50,0.74,37.830000000000005
A00946,0,50,1.12,37.830000000000005
A00948,0,50,0.74,37.56
A00949,0,50,1.22,37.12
A00950,0,50,0.24,41.959999999999994
A00952,0,50,0.27,41.959999999999994
A00953,0,50,0.26,41.959999999999994
A00954,0,50,1.15,37.830000000000005
