id,log_annual_fees,log_annual_income,occupation_cd,age_at_issue,additional_members,status,start_year,duration,term_years_12,term_years_17,term_years_22,term_years_27,term_years_32,term_years_<50,term_years_>50,marital_status_M,marital_status_S,marital_status_UNKNOWN,gender_F,gender_M,package_TYPE-A,package_TYPE-B,payment_mode_ANNUAL,payment_mode_MONTHLY,payment_mode_QUARTERLY,payment_mode_SEMI-ANNUAL
A00001,11.636248681002227,17.04235455248165,1,45,2,INFORCE,2006,7.219178082191781,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
A00002,11.628216509304965,16.151453054612315,1,36,3,INFORCE,2006,7.084931506849316,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
A00003,11.512925464970229,16.48273876454623,1,42,1,INFORCE,2007,6.857534246575343,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00004,11.512925464970229,16.012735135300492,1,39,2,INFORCE,2007,6.863013698630137,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00005,11.512925464970229,15.38412647587812,1,27,2,INFORCE,2007,6.838356164383562,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
A00007,11.512925464970229,16.99356438831222,1,39,2,INFORCE,2007,6.780821917808219,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
A00008,11.695247021764184,15.096444403426338,1,28,1,CANCELLED,2007,2.419178082191781,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
A00010,11.53956739591665,16.48273876454623,1,42,2,INFORCE,2007,6.67945205479452,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
A00011,13.815510557964274,15.434306150421202,1,38,3,INFORCE,2007,6.67945205479452,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00012,11.512925464970229,15.096444403426338,1,35,3,INFORCE,2007,6.67945205479452,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
A00014,11.526335151880144,16.888203872654394,1,38,3,INFORCE,2007,6.67945205479452,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
