id,term_years,log_annual_fees,marital_status,gender,log_annual_income,occupation_cd,package,age_at_issue,additional_members,payment_mode,status,start_year,duration
A00001,<50,11.636248681002227,M,M,17.04235455248165,1,TYPE-B,45,2,ANNUAL,INFORCE,2006,7.219178082191781
A00002,<50,11.628216509304963,M,M,16.151453054612315,1,TYPE-B,36,3,QUARTERLY,INFORCE,2006,7.0849315068493155
A00003,12,11.512925464970229,M,M,16.48273876454623,1,TYPE-B,42,1,ANNUAL,INFORCE,2007,6.857534246575343
A00004,12,11.512925464970229,M,M,16.012735135300492,1,TYPE-B,39,2,ANNUAL,INFORCE,2007,6.863013698630137
A00005,<50,11.512925464970229,M,M,15.38412647587812,1,TYPE-B,27,2,QUARTERLY,INFORCE,2007,6.838356164383562
A00007,<50,11.512925464970229,M,M,16.99356438831222,1,TYPE-B,39,2,ANNUAL,INFORCE,2007,6.780821917808219
A00008,12,11.695247021764184,M,M,15.096444403426338,1,TYPE-B,28,1,QUARTERLY,CANCELLED,2007,2.419178082191781
A00010,<50,11.53956739591665,M,M,16.48273876454623,1,TYPE-B,42,2,SEMI-ANNUAL,INFORCE,2007,6.67945205479452
A00011,12,13.815510557964274,M,M,15.434306150421202,1,TYPE-B,38,3,ANNUAL,INFORCE,2007,6.67945205479452
A00012,<50,11.512925464970229,M,M,15.096444403426338,1,TYPE-B,35,3,ANNUAL,INFORCE,2007,6.67945205479452
A00014,<50,11.526335151880145,M,M,16.888203872654394,1,TYPE-B,38,3,ANNUAL,INFORCE,2007,6.67945205479452
A00015,12,11.512925464970229,M,M,15.943742263813542,1,TYPE-B,39,3,QUARTERLY,INFORCE,2007,6.67945205479452
A00016,12,13.304684934198283,M,M,14.369395671190711,1,TYPE-B,36,1,ANNUAL,INFORCE,2007,6.67945205479452
A00017,12,12.206072645530174,M,M,16.99356438831222,1,TYPE-B,39,2,QUARTERLY,INFORCE,2007,6.610958904109589
A00018,12,12.206072645530174,S,M,14.739769459487606,1,TYPE-B,35,0,QUARTERLY,CANCELLED,2007,1.167123287671233
A00019,12,12.206072645530174,M,M,15.999312114968353,1,TYPE-B,29,3,ANNUAL,CANCELLED,2007,1.167123287671233
A00020,12,11.512933464938229,S,M,15.432916640047551,1,TYPE-B,28,0,MONTHLY,CANCELLED,2007,0.3315068493150685
A00021,12,11.918390573078392,S,M,13.304684934198283,1,TYPE-B,27,0,ANNUAL,INFORCE,2007,6.536986301369863
A00022,12,11.512925464970229,S,M,12.206092645330177,1,TYPE-B,25,0,ANNUAL,INFORCE,2007,6.512328767123288
A00023,<50,11.512925464970229,M,M,13.487006490992238,1,TYPE-B,38,2,ANNUAL,INFORCE,2007,6.468493150684932
A00024,12,11.512925464970229,M,F,11.813740915811973,1,TYPE-B,39,1,ANNUAL,INFORCE,2007,6.441095890410959
A00025,12,11.736069016284437,M,M,13.081541382884074,1,TYPE-B,29,2,ANNUAL,INFORCE,2007,6.435616438356164
A00026,12,11.512925464970229,M,M,12.899209826040119,1,TYPE-B,22,3,SEMI-ANNUAL,INFORCE,2007,6.4301369863013695
A00027,12,12.206072645530174,S,M,12.206092645330177,1,TYPE-B,22,0,SEMI-ANNUAL,INFORCE,2007,6.3780821917808215
A00028,12,11.512925464970229,M,M,12.793859310432293,1,TYPE-B,59,3,SEMI-ANNUAL,INFORCE,2007,6.402739726027397
A00030,12,11.512925464970229,S,M,14.346141161964853,1,TYPE-B,25,0,QUARTERLY,CANCELLED,2007,0.41643835616438357
A00031,12,11.512925464970229,M,M,12.4090298159242,1,TYPE-B,44,1,QUARTERLY,INFORCE,2007,6.4301369863013695
A00032,12,12.206072645530174,M,M,14.300452059574218,1,TYPE-B,45,3,SEMI-ANNUAL,CANCELLED,2007,1.6356164383561644
A00033,12,13.122363377404328,M,M,14.22097566607244,1,TYPE-B,46,3,ANNUAL,INFORCE,2007,6.276712328767124
A00034,12,11.512925464970229,M,M,14.22097566607244,1,TYPE-B,46,3,ANNUAL,INFORCE,2007,6.276712328767124
A00035,12,11.512925464970229,S,M,12.429200196716382,1,TYPE-B,28,0,SEMI-ANNUAL,CANCELLED,2007,1.158904109589041
A00036,<50,11.512925464970229,S,M,12.765699861971719,1,TYPE-B,26,0,QUARTERLY,CANCELLED,2007,0.915068493150685
A00039,12,11.512925464970229,M,M,12.206092645330177,1,TYPE-B,34,3,ANNUAL,INFORCE,2007,6.279452054794521
A00041,12,13.122373297355127,M,M,12.899209826040119,1,TYPE-B,29,2,MONTHLY,INFORCE,2007,6.227397260273973
A00042,32,11.512925464970229,S,M,14.403297222866392,1,TYPE-B,42,0,SEMI-ANNUAL,INFORCE,2007,6.164383561643835
A00043,12,11.512925464970229,M,F,,0,TYPE-B,28,3,ANNUAL,INFORCE,2007,6.205479452054795
A00044,12,12.509900298780636,M,M,16.300417207752275,1,TYPE-A,51,3,ANNUAL,CANCELLED,2007,3.084931506849315
A00046,12,11.512925464970229,M,M,13.304684934198283,1,TYPE-B,28,3,SEMI-ANNUAL,CANCELLED,2007,0.6575342465753424
A00047,17,12.429199716708586,M,M,12.785491060761776,1,TYPE-B,30,2,MONTHLY,CANCELLED,2007,1.915068493150685
A00048,17,11.512925464970229,M,M,12.404218337671013,1,TYPE-B,35,2,ANNUAL,INFORCE,2007,6.1506849315068495
A00049,17,11.512925464970229,M,M,12.765699861971719,1,TYPE-B,35,2,SEMI-ANNUAL,INFORCE,2007,6.1808219178082195
